correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
3643	point estimate	image	tree_age_abuelo.png	no answers	FALSE
1433	point estimate	image	tree_age_arbol.png	no answers	FALSE
5000	point estimate	image	tree_age_banyantree.png	no answers	FALSE
2302	point estimate	image	tree_age_bodhi.png	no answers	FALSE
2000	point estimate	image	tree_age_fortingall.png	no answers	FALSE
1700	point estimate	image	tree_age_granit.png	no answers	FALSE
1270	point estimate	image	tree_age_henrykow.png	no answers	FALSE
4000	point estimate	image	tree_age_horses.png	no answers	FALSE
2000	point estimate	image	tree_age_houki.png	no answers	FALSE
1500	point estimate	image	tree_age_juniper.png	no answers	FALSE
4000	point estimate	image	tree_age_llangrerntw.png	no answers	FALSE
4846	point estimate	image	tree_age_methuselah.png	no answers	FALSE
4844	point estimate	image	tree_age_prometheus.png	no answers	FALSE
4000	point estimate	image	tree_age_sarveabarkuh.png	no answers	FALSE
1500	point estimate	image	tree_age_sisteroak.png	no answers	FALSE
3000	point estimate	image	tree_age_sozzastro.png	no answers	FALSE
2000	point estimate	image	tree_age_staramaslina.png	no answers	FALSE
1500	point estimate	image	tree_age_stelmuze.png	no answers	FALSE
9550	point estimate	image	tree_age_tjikko.png	no answers	FALSE
4000	point estimate	image	tree_age_zoroastrian.png	no answers	FALSE
